process_step,total,汽车制造业,文教、工美、体育和娱乐用品制造业,电气机械和器材制造业,专用设备制造业,非金属矿物制品业,食品制造业,通用设备制造业,铁路、船舶、航空航天和其他运输设备制造业,医药制造业,纺织业,有色金属冶炼和压延加工业,皮革、毛皮、羽毛及其制品和制鞋业,化学纤维制造业,农副食品加工业,酒、饮料和精制茶制造业
称量充绒,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
鞋帮裁断,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
贴底粘合,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
绷帮成型,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
选皮配皮,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
水洗脱脂,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
绷帮贴底,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
锯材堆垛,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
干燥处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分等定级,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
真空加压浸渍,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
定心装夹,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
涂胶组坯,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
热压固化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁边砂光,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
检测包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开榫加工,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打磨修整,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喷漆涂装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开槽榫接,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UV涂装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分等检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剖竹开片,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒸煮软化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
按需配送,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
定时巡检,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
削片加工,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
检测打包,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
纤维分离,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炭化烧制,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
砂光,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打磨,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
喷涂,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
修边去毛刺,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
绷网铺设,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
面料包覆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
弯曲成型,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
切割下料,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
折弯冲压,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
开料裁切,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻孔榫卯,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
漂白,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
蒸煮,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
浆料储存,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
折叠粘合,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
洗涤,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
揭纸,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打包捆扎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
制版CTP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
裁切,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
复制刻录,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
装配插装,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
灌装封盖,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
打磨抛光,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
搬运出库,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
绕弦安装,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
精雕细刻,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
精磨抛光,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
面漆喷涂,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
分拣摆盘,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
宝石镶嵌,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
刺绣走针,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
充气封口,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
拧紧紧固,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
缝合车线,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
装配穿衣,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
轮轴安装,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
安全测试,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
喷涂防腐,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
电气接线,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
催化裂化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
气化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
合成,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
活化,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
元件制造,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
废物处置,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
破碎,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
反应造粒,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
制剂配制,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
灌装包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
原料称配,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
调漆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配料计量,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
配制稀释,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
混药,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
插引,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
达标排放,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
净选分拣,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
切制成型,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
化学合成,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
培养发酵,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
裁切成型,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
干燥炮制,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
粉碎过筛,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
配液灌装,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
提取浓缩,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
切断打包,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
溶剂回收,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
发酵培养,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
分拣分类,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
铺装摊平,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收卷,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
编织,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
簇绒,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
巡检监控,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
打捆,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
回转窑煅烧,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
包装码垛,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
竖窑/回转窑煅烧,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
模具准备,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
堆垛,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
出窑,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
大板切割,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
检测分级,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
玻纤铺层,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
施釉,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
涂覆,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
高炉冶炼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
渣处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
铸坯检验,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加热炉加热,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
表面检测,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
矿热炉熔炼,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
电解精炼,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
阴极铜剥离,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
阳极泥收集,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
出铝,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
热轧,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
加热,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
合金添加,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
称重检测,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
还原,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
铸锭,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
拉丝,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
配料,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
剪切,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
装车外运,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气处理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
脱水脱硫,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
剥离作业,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
成品储运,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地质勘探,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
磨矿,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
放射性分选,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
精矿脱水,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
分级包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
机械采盐,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻孔爆破,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
堆存包装,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
提升出井,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
安全监测监控,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
通风除尘维护,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
储运设施管理,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气集输,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钻井施工,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
井下物料运输,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
